run_id;layer_id;layer_name;model;nr_images;normalize;train_score;val_score
resnet_none_8100_25082019-200322;63;activation_16;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;102;activation_27;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;134;bn4f_branch2a;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;66;activation_17;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;98;activation_26;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;92;activation_24;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;15;bn2a_branch2c;resnet;8100;none;0.9912345679012344;0.3456790123456789
resnet_none_8100_25082019-200322;87;res4a_branch2c;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;76;activation_20;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;14;res2a_branch1;resnet;8100;none;1.0;0.4444444444444444
resnet_none_8100_25082019-200322;16;bn2a_branch1;resnet;8100;none;1.0;0.5679012345679012
resnet_none_8100_25082019-200322;171;res5c_branch2c;resnet;8100;none;1.0;0.7777777777777778
resnet_none_8100_25082019-200322;65;bn3c_branch2b;resnet;8100;none;1.0;0.9506172839506172
resnet_none_8100_25082019-200322;20;bn2b_branch2a;resnet;8100;none;1.0;0.5555555555555556
resnet_none_8100_25082019-200322;45;res3a_branch2c;resnet;8100;none;1.0;0.6419753086419753
resnet_none_8100_25082019-200322;36;bn2c_branch2c;resnet;8100;none;1.0;0.5432098765432098
resnet_none_8100_25082019-200322;57;res3b_branch2c;resnet;8100;none;1.0;0.6666666666666666
resnet_none_8100_25082019-200322;7;res2a_branch2a;resnet;8100;none;1.0;0.32098765432098764
resnet_none_8100_25082019-200322;60;activation_15;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;13;res2a_branch2c;resnet;8100;none;0.914074074074074;0.2962962962962963
resnet_none_8100_25082019-200322;136;res4f_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;141;add_12;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;50;activation_12;resnet;8100;none;1.0;0.9629629629629628
resnet_none_8100_25082019-200322;146;res5a_branch2b;resnet;8100;none;1.0;0.8395061728395061
resnet_none_8100_25082019-200322;26;bn2b_branch2c;resnet;8100;none;1.0;0.5185185185185185
resnet_none_8100_25082019-200322;119;res4d_branch2c;resnet;8100;none;1.0;0.8518518518518519
resnet_none_8100_25082019-200322;42;res3a_branch2b;resnet;8100;none;1.0;0.654320987654321
resnet_none_8100_25082019-200322;149;res5a_branch2c;resnet;8100;none;1.0;0.8518518518518519
resnet_none_8100_25082019-200322;39;res3a_branch2a;resnet;8100;none;1.0;0.7160493827160493
resnet_none_8100_25082019-200322;162;bn5b_branch2c;resnet;8100;none;1.0;0.6790123456790124
resnet_none_8100_25082019-200322;118;activation_32;resnet;8100;none;1.0;0.8765432098765432
resnet_none_8100_25082019-200322;43;bn3a_branch2b;resnet;8100;none;1.0;0.654320987654321
resnet_none_8100_25082019-200322;9;activation_1;resnet;8100;none;1.0;0.5061728395061729
resnet_none_8100_25082019-200322;33;bn2c_branch2b;resnet;8100;none;1.0;0.3703703703703704
resnet_none_8100_25082019-200322;137;bn4f_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;157;activation_43;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;130;bn4e_branch2c;resnet;8100;none;1.0;0.8641975308641975
resnet_none_8100_25082019-200322;127;bn4e_branch2b;resnet;8100;none;1.0;0.8888888888888888
resnet_none_8100_25082019-200322;86;activation_23;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;32;res2c_branch2b;resnet;8100;none;1.0;0.3950617283950617
resnet_none_8100_25082019-200322;114;bn4d_branch2a;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;150;res5a_branch1;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;104;bn4c_branch2a;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;144;bn5a_branch2a;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;58;bn3b_branch2c;resnet;8100;none;1.0;0.654320987654321
resnet_none_8100_25082019-200322;54;res3b_branch2b;resnet;8100;none;1.0;0.7037037037037037
resnet_none_8100_25082019-200322;25;res2b_branch2c;resnet;8100;none;1.0;0.5061728395061729
resnet_none_8100_25082019-200322;18;activation_3;resnet;8100;none;1.0;0.7777777777777778
resnet_none_8100_25082019-200322;128;activation_35;resnet;8100;none;1.0;0.8765432098765432
resnet_none_8100_25082019-200322;67;res3c_branch2c;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;116;res4d_branch2b;resnet;8100;none;1.0;0.8148148148148148
resnet_none_8100_25082019-200322;153;add_13;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;95;activation_25;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;156;bn5b_branch2a;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_25082019-200322;93;res4b_branch2a;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;24;activation_5;resnet;8100;none;1.0;0.5308641975308642
